[server: n00dles | root: true | ports req: 0]: home,CSEC
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: CSEC | root: true | ports req: 1]: n00dles
[server: n00dles | root: true | ports req: 0]: home,CSEC
[server: foodnstuff | root: true | ports req: 0]: home
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: sigma-cosmetics | root: true | ports req: 0]: home,nectar-net
[server: home | root: true | ports req: 5]: n00dles,foodnstuff,sigma-cosmetics,joesguns,hong-fang-tea,harakiri-sushi,iron-gym,hacknet-server,darkweb,Yc2ElB6ji9,remote-hack,remote-hack-0,share-server,hacknet-nodes,joesguns-opp
[server: nectar-net | root: true | ports req: 0]: sigma-cosmetics,neo-net,omega-net
[server: sigma-cosmetics | root: true | ports req: 0]: home,nectar-net
[server: neo-net | root: true | ports req: 1]: nectar-net,netlink,johnson-ortho,avmnite-02h
[server: nectar-net | root: true | ports req: 0]: sigma-cosmetics,neo-net,omega-net
[server: netlink | root: true | ports req: 3]: neo-net,zb-institute
[server: neo-net | root: true | ports req: 1]: nectar-net,netlink,johnson-ortho,avmnite-02h
[server: zb-institute | root: true | ports req: 5]: netlink,lexo-corp,millenium-fitness
[server: netlink | root: true | ports req: 3]: neo-net,zb-institute
[server: lexo-corp | root: true | ports req: 4]: zb-institute,galactic-cyber,aerocorp,snap-fitness
[server: zb-institute | root: true | ports req: 5]: netlink,lexo-corp,millenium-fitness
[server: galactic-cyber | root: true | ports req: 5]: lexo-corp
[server: lexo-corp | root: true | ports req: 4]: zb-institute,galactic-cyber,aerocorp,snap-fitness
[server: aerocorp | root: true | ports req: 5]: lexo-corp,deltaone,unitalife
[server: lexo-corp | root: true | ports req: 4]: zb-institute,galactic-cyber,aerocorp,snap-fitness
[server: deltaone | root: true | ports req: 5]: aerocorp,univ-energy,solaris,zeus-med
[server: aerocorp | root: true | ports req: 5]: lexo-corp,deltaone,unitalife
[server: univ-energy | root: true | ports req: 4]: deltaone
[server: deltaone | root: true | ports req: 5]: aerocorp,univ-energy,solaris,zeus-med
[server: solaris | root: true | ports req: 5]: deltaone,zb-def
